Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
naive/1,4.546080668989764e-3,4.471850915050983e-3,4.628534351780742e-3,2.4684606136404026e-4,2.0463596463119073e-4,3.094124279556488e-4
naive/2,7.4755991928628345e-3,7.390314577172028e-3,7.600163116387688e-3,2.958064855182326e-4,2.1860144733079102e-4,3.599591019253011e-4
naive/4,7.9580435591052e-3,7.89176322183384e-3,8.046100965755228e-3,2.3043424053815375e-4,1.7477158466396443e-4,3.063229137043082e-4
naive/8,1.0645703009738397e-2,1.0537849237510522e-2,1.0790013420937791e-2,3.571813793674511e-4,2.5587327445643267e-4,4.6477193223436886e-4
naive/16,2.417160895997182e-2,2.3832088573910826e-2,2.459293459905494e-2,8.130073473731449e-4,6.118762361146025e-4,1.1099598951353738e-3
naive/32,4.0198934070295206e-2,3.9925135805363346e-2,4.057997995460569e-2,6.598370992482377e-4,4.3690212829212136e-4,1.0268488775703587e-3
naive/64,0.10219415698667665,0.10153069082179746,0.10271923416566717,9.755040535310923e-4,7.65648358927104e-4,1.3101169780553466e-3
naive/128,0.19521799738690282,0.19310906811798403,0.1965217235329975,2.3236895340275486e-3,1.1118977880753985e-3,3.5478628107637545e-3
naive/256,0.3790696969833031,0.3776249432557961,0.3807533250655979,1.941570285391229e-3,7.944805375027556e-4,2.542035276452785e-3
naive/512,0.72446975929779,0.7216778333386173,0.7286787846314837,3.9813859757926754e-3,4.542653560518019e-4,5.087296496893945e-3
naive/1024,1.4053782826498111,1.3922761673748028,1.424041324382415,1.8083027632202528e-2,5.127400264405602e-3,2.4452829265594285e-2
naive/2048,2.829174240501743,2.8143595040237415,2.8408286909907474,1.597056951000369e-2,8.425353000347968e-3,2.197096400986368e-2
naive/4096,5.699179303415197,5.68639633457739,5.719444320631737,1.9179823793584502e-2,1.192020551231389e-3,2.3996036565819428e-2
naive/8192,11.86633879118017,11.403894147384563,12.62305815747095,0.7360674263867605,0.19644932662777137,0.9872043312686356
naive/16384,22.594607998367184,22.564552217256278,22.605078138059373,2.019280649949537e-2,4.278656795506791e-5,2.4179751878951466e-2
naive/32768,45.418368711310904,45.3437174666833,45.486243153500254,8.185520994915374e-2,2.950328984030612e-2,0.10095147728232728
naive/65536,91.8213620472925,90.94380088816979,92.30687744429088,0.8482943185603057,0.21585887542236548,1.1212497806108916
KMP/1,2.535807755273544e-3,2.5155394391488703e-3,2.5640143462410986e-3,8.033462275339823e-5,6.210519173374607e-5,1.1178553569903799e-4
KMP/2,4.648263783786346e-3,4.59055429965852e-3,4.7325608515646515e-3,2.053613164978008e-4,1.4487047024936198e-4,2.83107191636187e-4
KMP/4,4.928288273852404e-3,4.8833593739518325e-3,4.98979929758236e-3,1.5337738036032267e-4,1.2133314361032746e-4,2.1581509997088314e-4
KMP/8,6.309817259911193e-3,6.26132225718825e-3,6.3693629740216385e-3,1.6188389033396897e-4,1.3289553493197302e-4,2.068269611416675e-4
